state,total,appropriated,reimbursable,rank
Alabama,0,0,0,
Alaska,0,0,0,
Arizona,0,0,0,
Arkansas,0,0,0,
California,0,0,0,
Colorado,0,0,0,
Connecticut,0,0,0,
Delaware,8133792,2898657,5235135,5
Florida,0,0,0,
Georgia,0,0,0,
Hawaii,0,0,0,
Idaho,0,0,0,
Illinois,8103242,2596386,5506856,6
Indiana,12171117,3943750,8227367,1
Iowa,4515296,1945738,2569558,11
Kansas,0,0,0,
Kentucky,12171117,3943750,8227367,1
Louisiana,0,0,0,
Maine,0,0,0,
Maryland,8133792,2898657,5235135,5
Massachusetts,0,0,0,
Michigan,5928746,1666020,4262726,9
Minnesota,7347960,2397983,4949977,8
Mississippi,0,0,0,
Missouri,7891686,1689360,6202326,7
Montana,0,0,0,
Nebraska,4835661,2551104,2284557,10
Nevada,0,0,0,
New Hampshire,0,0,0,
New Jersey,0,0,0,
New Mexico,0,0,0,
New York,0,0,0,
North Carolina,0,0,0,
North Dakota,3829657,1451899,2377758,13
Ohio,8254715,1943509,6311206,4
Oklahoma,0,0,0,
Oregon,0,0,0,
Pennsylvania,11341912,2623162,8718750,3
Rhode Island,0,0,0,
South Carolina,0,0,0,
South Dakota,4071891,1759084,2312807,12
Tennessee,0,0,0,
Texas,0,0,0,
Utah,0,0,0,
Vermont,0,0,0,
Virginia,0,0,0,
Washington,0,0,0,
West Virginia,0,0,0,
Wisconsin,12059397,3716518,8342879,2
Wyoming,0,0,0,
